Kanji	Reading	Meaning	Level	Year	Strokes	Examples	Etymology	Mnemonic	Images
元	GEN, GAN, moto	origin, source	L4	117	4	元気 [GENKI] - health, vigor; 元来 [GANRAI] - originally; 元通り [motodōri] - as before		TWO BENT PERSONS OF SAME ORIGIN	
言	GEN, GON, koto, i	word, say, speak	L5	118	7	発言 [HATSUGEN] - statement; 無言 [MUGON] - silence; 言葉 [kotoba] - word		MOUTH SPEAKS THREE AND A BIT WORDS	
原	GEN, hara	plain, origin	L3	119	10	原子 [GENSHI] - atom; 原文 [GENBUN] - original text; 草原 [kusahara] - grassy plain		ORIGINALLY CLIFF WITH A LITTLE WHITE SPRING, NOW A PLAIN	
戸	KO, to	door	L3	120	4	戸外 [KOGAI] - outdoors; 戸主 [KOSHU] - head of house; 戸口 [toguchi] - doorway		SINGLE-LEAF DOOR UNDER A CEILING	
古	KO, furu	old	L5	121	5	復古 [FUKKO] - restoration; 古着 [furugi] - old clothes; 考古学 [KŌKOGAKU] - archeology		AN OLD ORAL TALE TOLD TEN TIMES OVER	
午	GO	noon	L5	122	4	午後 [GOGO] - p.m., afternoon; 午前 [GOZEN] - a.m., morning; 正午 [SHŌGO] - noon		COW BROKE TIP OFF HORN AT NOON	
後	GO, KŌ, ushi	behind, after, delay	L5	123	9	以後 [IGO] - after; 後半 [KŌHAN] - second half; 後味 [atoaji] - aftertaste		GO CROSSLEGGED ON THREADING ROAD AND FALL BEHIND	
語	GO, kata	tell, speak, talk	L5	124	14	語調 [GOCHŌ] - tone of voice; 物語 [monogatari] - saga; 日本語 [NIHONGO] - Japanese lang.		FIVE MOUTHS SPEAK MANY WORDS	
工	KŌ, KU	work	L4	125	3	工場 [KŌJŌ] - factory; 人工 [JINKŌ] - man-made; 大工 [DAIKU] - carpenter		WORK WITH CARPENTER’S SET-SQUARE	
公	KŌ, ōyake	public, fair, lord	L3	126	4	公共 [KŌKYŌ] - public; 公平 [KŌHEI] - fairness; 紀州公 [KISHŪKŌ] - Lord Kishu		EIGHT LORDS SHOW NOSE IN PUBLIC	
広	KŌ, hiro	wide, spacious	L3	127	5	広大 [KŌDAI] - vast; 広島 [Hiroshima] - place-name; 広告 [KŌKOKU] - advertisement		SPACIOUS BUILDING TO NOSE AROUND IN	
交	KŌ, ma	mix, exchange	L3	128	6	交通 [KŌTSŪ] - traffic; 外交 [GAIKŌ] - diplomacy; 交換 [KŌKAN] - exchange		MIX SIX CROSSES – FAIR EXCHANGE	
光	KŌ, hikari, hika	light, shine	L4	129	6	日光 [NIKKŌ] - sunlight; 光年 [KŌNEN] - light year; 光学 [KŌGAKU] - optics		LIGHT SHINES FROM ODD FLAMES OVER PERSON’S FLAT HEAD	
考	KŌ, kanga	consider	L4	130	6	考案 [KŌAN] - idea; 参考 [SANKŌ] - reference; 考え事 [kangaegoto] - a concern		CROOKED OLD MAN CONSIDERS BURIAL IN THE GROUND	
行	KŌ, GYŌ, i	go, conduct, line	L5	131	6	実行 [JIKKŌ] - carrying out; 行列 [GYŌRETSU] - procession; 行方 [yukue*] - whereabouts		GO TO THE CROSSROADS IN A LINE	
高	KŌ, taka, taka	tall, high, sum	L5	132	10	高原 [KŌGEN] - plateau; 最高 [SAIKŌ] - highest; 高値 [takane] - high price		TALL LANTERN-LIKE WATCHTOWER ON A HIGH HILL	
黄	KŌ, Ō, ki	yellow	L4	133	11	黄葉 [KŌYŌ] - yellow leaves; 黄金 [ŌGON] - gold; 黄色(い) [kiiro(i)] - yellow		ARROW BURNS YELLOW WITH GRASS FROM FIELD	
合	GŌ, KATSU, a	meet, join, fit	L4	134	6	合理 [GŌRI] - rationality; 合戦 [KASSEN] - battle; 話し合い [hanashiai] - discussion		COVER FITS OVER A RECEPTACLE	
谷	KOKU, tani	valley, gorge	L3	135	7	幽谷 [YŪKOKU] - deep ravine; 谷底 [tanisoko] - valley bottom; 長谷川* [Hasegawa] - a surname		DOUBLY WIDE OPEN VALLEY MOUTH	
国	KOKU, kuni	country, region	L5	136	8	外国 [GAIKOKU] - overseas; 国家 [KOKKA] - state; 国々 [kuniguni] - nations		A COUNTRY IS AN ENCLOSED JEWEL	
黒	KOKU, kuro	black	L4	137	11	黒板 [KOKUBAN] - blackboard; 黒海 [KOKKAI] - Black Sea; 黒幕 [kuroMAKU] - manipulator		GROUND IN BURNT FIELD IS BLACK	
今	KON, KIN, ima	now	L5	138	4	今週 [KONSHŪ] - this week; 今度 [KONDO] - this time; 今頃 [imagoro] - around now		NOW IS THE TIME TO COVER THAT OBJECT	
才	SAI	talent, age, -year	L3	139	3	天才 [TENSAI] - genius; 五才 [GOSAI] - five years old; 才能 [SAINŌ] - talent		PROPPING UP THE CROSS SHOWS TALENT	
細	SAI, hoso	slender, fine	L3	140	11	細工 [SAIKU] - craftsmanship; 細長い [hosonagai] - slender; 細々 [komagoma] - in detail	Late graph ( Shuowen ). Seal form has 糸 29 ‘thread’ as semantic, and 囟 (CO originally a pictograph of skull or fontanelle) as phonetic, with associated sense ‘thin, slender’. The change from 囟 to 田 in standard script is due either to script regularization or mistaken analysis. KJ1970:469; YK1976:198; SS1984:338. We suggest taking 田 as 63 ‘field’.	SLENDER PATH THREADS THROUGH FIELD	images/Chapter2_img_86.jpg
作	SAKU, SA, tsuku	make, make up	L4	141	7	製作 [SEISAKU] - production; 作品 [SAKUHIN] - a work; 動作 [DŌSA] - action	Originally the graph was just 乍 , with OBI forms such as showing what is seen as timber being cut with an ax. Some bronze forms have a hand appended; later this was dropped, and the ‘person’ determinative 亻 41 was added. ‘To make’ evolved as an extended meaning. As the phonetic in 作 , 乍 also has associated sense of ‘modified, not genuine’ (cf English ‘made up’). MS1995:v1:18-20, 54; KJ1970:435-6; OT1968:25,53. We suggest taking 乍 as a saw.	PERSON USES SAW TO MAKE THINGS	images/Chapter2_img_87.jpg
算	SAN	reckon, count	L3	142	14	計算 [KEISAN] - calculation; 予算 [YOSAN] - budget; 算数 [SANSŪ] - arithmetic		USE BOTH HANDS TO COUNT ON A BAMBOO ABACUS	
止	SHI, to	stop	L4	143	4	中止 [CHŪSHI] - suspension; 止め役 [tomeYAKU] - peacemaker; 止め処 [tomedo*] - an end		FOOTPRINT STOPS OVER LINE	
市	SHI, ichi	city, market	L4	144	5	吹田市 [SUItaSHI] - Suita City; 市場 [SHIJŌ] - market; 魚市 [uoichi] - fishmarket		GO TO MARKET TO BUY CLOTH AND TOP HAT	
矢	SHI, ya	arrow	L1	145	5	一矢 [ISSHI] - retaliation; 矢印 [yajirushi] - arrow sign; 矢先に [yasaki ni] - just on the point of		BIG ARROW WITH BROKEN TIP	
姉	SHI, ane	elder sister	L4	146	8	姉妹 [SHIMAI] - sisters; 姉さん [neesan*] - elder sister; 姉上 [aneue] - elder sister (formal)		WOMAN GOING TO MARKET IS AN ELDER SISTER	
思	SHI, omo	think	L4	147	9	思想 [SHISŌ] - ideology; 思考 [SHIKŌ] - thought; 思い出 [omoide] - recollection		I THINK MY HEART WILL ALWAYS BE IN MY FIELD	
紙	SHI, kami	paper	L4	148	10	表紙 [HYŌSHI] - book cover; 和紙 [WASHI] - Japanese paper; 手紙 [tegami] - letter		APPLY LADLE TO THREADS TO MAKE PAPER	
寺	JI, tera	temple	L3	149	6	竜安寺 [RYŌANJI] - Ryoan Temple; 寺院 [JIIN] - Buddhist temple; 山寺 [yamadera] - mountain temple	Mizukami takes bronze forms to combine ‘hand’ 920 寸 orig. ‘hand’, with 止 143 ‘stop’, latter acting as phonetic with associated sense ‘control’; Katō broadly agrees. Ogawa identifies same two elements as ‘keep in the hand’. Instead of 止 , Tōdō takes top element as 之 (NJK; ‘move, go’, see 151). Note some OBI and bronze forms of 止 and 之 are very similar ( 之 might originally have depicted foot, like 止 ); Karlgren asserts 止 ‘is mostly used in the bone and the bronze inscriptions as loan for the homophonous 之 in its various meanings’ (Schuessler has these two graphs as near-homophones, not complete homophones in Late Han times). Originally meaning ‘control with hand’, in Han times 寺 acquired the sense of ‘place to control/administer’, and also – after transmission of Buddhism to China c.1 st century A.D. – the more specialized sense of ‘Buddhist temple’. By clerical script stage upper element had changed to 土 . MS1995:v1:392-3,18-19; KJ1970:480; OT1968:285; BK1957:253-4; AS2007:613; SK1984:230. Take as 土 64 ‘ground’ and 寸 920 ‘hand’.	HAND OFFERS GROUND TO TEMPLE	images/Chapter2_img_99.jpg
自	JI, SHI, mizuka	self	L4	150	6	自分 [JIBUN] - oneself; 自然 [SHIZEN] - Nature; 自信 [JISHIN] - self-confidence		NOSE JUST A STROKE AWAY FROM THE EYE, SYMBOLISING SELF	
時	JI, toki	time, hour	L5	151	10	時代 [JIDAI] - era, period; 二時 [NIJI] - two o’clock; 時々 [tokidoki] - sometimes		TELL TIME BY SUN ON TEMPLE	
室	SHITSU, muro	room, house	L4	152	9	室内 [SHITSUNAI] - indoors; 教室 [KYŌSHITSU] - classroom; 室町 [Muromachi] - place/period name		ARROW REACHES ROOF OF ROOM	
社	SHA, yashiro	shrine, company	L5	153	7	社会 [SHAKAI] - society; 会社 [KAISHA] - company, firm; 社交性 [SHAKŌSEI] - sociability		GROUND IS A SHRINE	
弱	JAKU, yowa	weak	L4	154	10	弱点 [JAKUTEN] - weak point; 弱み [yowami] - weakness; 弱虫 [yowamushi] - weakling		ICED-UP BOWS ARE WEAK, DOUBLY SO	
首	SHU, kubi	head, neck, chief	L4	155	9	首領 [SHURYŌ] - leader; 首輪 [kubiwa] - necklace; 首切り [kubikiri] - decapitation		A NOSE, BROW AND HORNS SIGNIFY A HEAD	
秋	SHŪ, aki	autumn	L4	156	9	晩秋 [BANSHŪ] - late autumn; 秋分 [SHŪBUN] - autumn equinox; 秋空 [akizora] - autumn sky		RICE PLANTS (OR INSECTS!) CAN GET BURNED IN AUTUMN	
週	SHŪ	week	L5	157	11	週間 [SHŪKAN] - week; 先週 [SENSHŪ] - last week; 二週目 [NISHŪme] - second week		ANOTHER WEEK GOES ROUND	
春	SHUN, haru	spring(-time)	L4	158	9	青春 [SEISHUN] - youth; 売春 [BAISHUN] - prostitution; 春着 [harugi] - spring clothes		THREE PEOPLE OUT IN THE SUN – MUST BE SPRING	
書	SHO, ka	write, text	L5	159	10	書記 [SHOKI] - secretary; 教科書 [KYŌKASHO] - text book; 葉書 [hagaki] - postcard		BRUSH IN HAND WRITES TEXT IN LINES	
少	SHŌ, suku	few, a little	L5	160	4	少年 [SHŌNEN] - a youth; 少数 [SHŌSŪ] - minority; 多少 [TASHŌ] - more or less		THREE WITH ONE IS STILL JUST A FEW	
場	JŌ, ba	place	L4	161	12	会場 [KAIJŌ] - meeting place; 入場 [NYŪJŌ] - admission; 広場 [hiroba] - open space		PLACE WHERE SUN-RAYS SHINE DOWN ON THE GROUND	
色	SHOKU, SHIKI, iro	color, sex	L4	162	6	好色 [KŌSHOKU] - amorousness; 色素 [SHIKISO] - pigment; 銀色 [GIN’iro] - silver color		COLORFUL TALE ABOUT BODIES BENT IN SEX ACT	
食	SHOKU, ta	food, eat	L5	163	9	食事 [SHOKUJI] - meal; 食べ物 [tabemono] - food; 食い物 [kuimono] - food, victim		FOOD IN A VESSEL WITH LID ON TOP	
心	SHIN, kokoro	heart, mind	L4	164	4	中心 [CHŪSHIN] - core; 心臓 [SHINZŌ] - heart; 真心 [magokoro] - sincerity		HEART HAS FOUR PARTS	
新	SHIN, atara	new	L5	165	13	新年 [SHINNEN] - New Year; 新品 [SHINPIN] - new article; 新潟 [Niigata] - place name		AX STANDING BY TREE READY TO CUT NEW WOOD	
親	SHIN, oya, shita	parents, intimate	L4	166	16	両親 [RYŌSHIN] - parents; 親類 [SHINRUI] - relatives; 親方 [oyakata] - boss, foreman		A PARENT SHOULD LOOK OUT FOR NEEDLES, EVEN FROM TREES	
図	ZU, TO, haka	plan, diagram	L4	167	7	地図 [CHIZU] - map; 図画 [ZUGA] - a drawing; 図書館 [TOSHOKAN] - library		DIAGRAM ON PAPER SHEET SHOWS SPOT X WITH TWO POINTERS	
数	SŪ, kazu, kazo	number, count	L3	168	13	数学 [SŪGAKU] - mathematics; 数日 [SŪJITSU] - several days; 数々 [kazukazu] - numerous	Seal ; traditional 數 . Has 攵 ( 攴 normally ‘beat, strike’ 112, but here ‘do something with the hands’), and 婁 (CO; ‘sorceress’) as phonetic with associated sense ‘count out loud’ (Katō), or ‘be linked’ (Mizukami). Shirakawa, though, takes the graph as originally depicting a woman with a chignon, which is then dishevelled by someone’s hands ( 攵 ) to denote ‘blame, reproach’ (now a minor meaning in Chinese). MS1995:v1:582-3,336-7; KJ1970:499; SS1984:490-91. We suggest taking the modern form as 米 220 ‘rice’, 女 37 ‘woman’, and ‘use of hands’ 攵 112.	WOMAN COUNTS NUMBER OF RICE GRAINS BY HAND	images/87a.jpg
西	SEI, SAI, nishi	west	L5	169	6	西洋 [SEIYŌ] - the West; 関西 [KANSAI] - Kansai region; 西日 [nishibi] - afternoon sun		TIME FOR A JAR – THE SUN IS IN THE WEST	
声	SEI, SHŌ, koe	voice	L4	170	7	声援 [SEIEN] - vocal support; 大音声 [DAIONJŌ] - loud voice; 泣き声 [nakigoe] - sobbing voice		VOICE OF SAMURAI AT DOOR	
星	SEI, SHŌ, hoshi	star	L3	171	9	火星 [KASEI] - Mars; 明星 [MYŌJŌ] - Venus; 流れ星 [nagareboshi] - shooting star		STARS ARE BORN FROM THE SUN	
晴	SEI, ha	clear, bright	L3	172	12	晴天 [SEITEN] - clear sky; 晴々 [harebare] - bright; 晴れ着 [haregi] - best clothes		BRIGHT SUN AGAINST BLUE MEANS CLEAR WEATHER	
切	SETSU, SAI, ki	cut	L4	173	4	親切 [SHINSETSU] - kindness; 一切 [ISSAI] - all; 腹切り [harakiri] - harakiri		SEVEN SWORD CUTS	
雪	SETSU, yuki	snow	L3	174	11	降雪 [KŌSETSU] - snowfall; 大雪 [ōyuki] - heavy snow; 除雪車 [JOSETSUSHA] - snow plow		‘RAIN’ THAT A BROOM CAN SWEEP AWAY IS ACTUALLY SNOW	
船	SEN, fune, funa-	boat, ship	L3	175	11	船長 [SENCHŌ] - captain; こぎ船 [kogibune] - rowing boat; 船便 [funaBIN] - seamail		A BOAT WITH EIGHT PORTHOLES IS A SHIP	
線	SEN	line	L4	176	15	脱線 [DASSEN] - derailment; 光線 [KŌSEN] - light ray; 直線 [CHOKUSEN] - straight line		TRACE THREAD-LIKE LINE TO SOURCE	
前	ZEN, mae	before, front	L5	177	9	前者 [ZENSHA] - the former; 空前 [KŪZEN] - unprecedented; 前払い [maebarai] - prepayment		BEFORE CUTTING MEAT, CUT THE HORNS	
組	SO, kumi, ku	group, assemble	L3	178	11	組織 [SOSHIKI] - organization; 組合 [kumiai] - union; 組み立て [kumitate] - assembly		THE GROUP ASSEMBLES PILES OF THREADS	
走	SŌ, hashi	run	L4	179	7	競走 [KYŌSŌ] - race; 走行 [SŌKŌ] - travelling; 走り書き [hashirigaki] - scrawl		FOOT RUNNING ALONG GROUND	
多	TA, ō	many	L5	180	6	多数 [TASŪ] - majority; 多面的 [TAMENTEKI] - many-sided; 多過ぎ [ōsugi] - too much/many		MANY MOONS, MANY EVENINGS	
太	TAI, TA, futo	fat, big	L4	181	4	太子 [TAISHI] - prince; 太陽 [TAIYŌ] - sun; 太字 [futoJI] - bold type		FAT IS A BIT MORE THAN JUST BIG	
体	TAI, TEI, karada	body	L4	182	7	体格 [TAIKAKU] - physique; 風体 [FŪTEI] - posture; 体付き [karadatsuki] - figure		THE BODY IS THE BASIS OF A PERSON	
台	DAI, TAI	stand, platform	L4	183	5	土台 [DODAI] - foundation; 台風 [TAIFŪ] - typhoon; 台所 [DAIdokoro] - kitchen	Seal ; traditional 臺 . Analyses differ. In one view, 壴 ‘big drum’ over 至 886 (‘arrive’) with the sense ‘foot, base’ gives ‘drum stand’ (Ogawa). In another view, upper element is taken as ‘watchtower’ over 至 meaning ‘stay’, giving ‘place to stay and watch out’, i.e. ‘watchtower’ (Mizukami). Later abbreviated shape 台 coincides with a separate graph 台 (originally ‘I, me’ [ 口 22 ‘mouth, speak’, and 厶 ‘enclose and make one’s own’ as phonetic meaning ‘oneself’]). OT1968:163; MS1995:v2:1092-3,v1:204-5	A NOSE IS A SORT OF PLATFORM FOR A MOUTH	images/Chapter2_img_139.jpg
地	CHI, JI	ground, land	L4	184	6	地方 [CHIHŌ] - region; 地下 [CHIKA] - underground; 地元 [JImoto] - locality	Seal . Late graph ( Shuowen ). Has 土 64 ‘ground’, and 也 (NJK; see Note below) as phonetic with associated sense ‘extend in a meandering way’ (Mizukami); Katō and Tōdō are in broad agreement. Note: 也 was originally pictograph of a slithering snake or – in one view – female genitalia (noted in Mizukami); later borrowed for sound value for several grammatical function words such as ‘be’, ‘also’. MS1995:v1:264-5,24-5; KJ1970:692; TA1965:455-57.	LAND WITH WRIGGLING SNAKES ON THE GROUND	images/92c.jpg
池	CHI, ike	pond, lake	L4	185	6	用水池 [YŌSUICHI] - reservoir; 電池 [DENCHI] - battery; 古池 [furuike] - old pond	Seal . a late graph ( Shuowen ). Has 氵 ‘water’ 42, and 也 (see 184 Note) as phonetic with associated sense taken as i] ‘extend’, giving original meaning ‘water channel’ (Tōdō), or ii] ‘bank, dyke’, giving original meaning ‘water surrounded by dykes’, and hence ‘marshland’ (Katō). ‘Pond’ is an extended sense. TA1965:528-32; KJ1970:692.	POND WITH WRIGGLING WATER-SNAKES	images/Chapter2_img_140.jpg
知	CHI, shi	know	L4	186	8	知識 [CHISHIKI] - knowledge; 知的 [CHITEKI] - intellectual; 知り合い [shiriai] - acquaintance	Seal . A late graph. Has 口 22 ‘mouth; speak’, and 矢 145 (‘arrow’) as phonetic with associated sense ‘hit the mark’, giving ‘describe spot-on/exactly (like a flying arrow to its target)’, and by extension ‘know’. Alternatively, Shirakawa takes ‘arrow’ as being linked to taking an oath to the deities, and interprets 口 22 in his more usual way as ‘receptacle’; ‘knowing’ is then taken as emerging from the process of oath-taking. 智 is a separate graph (NJK) also meaning ‘know’; lower element is originally not 日 66 ‘sun, day’, but NJK 曰 ‘speak’. MS1995:v2:930-31; TA1965:465-7; SS1984:587.	IF YOU GOT AN ARROW IN THE MOUTH, YOU’D KNOW ABOUT IT!	images/Chapter2_img_141.jpg
茶	CHA, SA	tea, annoy	L4	187	9	茶わん [CHAWAN] - teabowl; 茶々 [CHACHA] - interruption; 茶道 [SADŌ] - tea ceremony		ALMOST AMPLE TEA PLANTS	
昼	CHŪ, hiru	noon, daytime	L4	188	9	昼食 [CHŪSHOKU] - lunch; 昼間 [hiruma] - daytime		MEASURE NOON SUN OVER HORIZON	
長	CHŌ, naga	long, senior	L5	189	8	成長 [SEICHŌ] - growth; 会長 [KAICHŌ] - chairperson; 長生き [nagaiki] - long life		SENIOR CITIZEN RUNS WITH FUNNY LEGS, LONG HAIR STREAMING	
鳥	CHŌ, tori	bird	L4	190	11	白鳥 [HAKUCHŌ] - swan; 野鳥 [YACHŌ] - wild bird; 鳥居 [torii] - shrine gate			
朝	CHŌ, asa	morning, court	L4	191	12	朝食 [CHŌSHOKU] - breakfast; 朝日 [asahi] - morning sun; 朝廷 [CHŌTEI] - imperial court		SUN RISES THROUGH PLANTS, MOON STILL OUT – IT’S MORNING	
直	CHOKU, JIKI, nao	direct, upright, fix	L3	192	8	直接 [CHOKUSETSU] - direct; 正直 [SHŌJIKI] - honesty; 直し屋 [naoshiya] - repairman		CROSS EYED – NEED TO FIX IT DIRECTLY	
通	TSŪ, tō	pass, commute, way	L4	193	10	通行 [TSŪKŌ] - passage; 通勤 [TSŪKIN] - commuting; 大通り [ōdōri] - main road		BENT FIGURE USES PASSAGE-WAY TO COMMUTE	
弟	TEI, DAI, DE, otōto	younger brother	L3	194	7	子弟 [SHITEI] - sons, children; 弟子 [DESHI] - follower, pupil; 兄弟 [KYŌDAI] - brothers		YOUNGER BROTHER GETS BOUND TO A STAKE, BUT LOOSELY	
店	TEN, mise, tana	store, premises	L5	195	8	店員 [TEN’IN] - store staff; 夜店 [yomise] - night stall; 店立て [tanadate] - eviction		A STORE OCCUPIES THAT BUILDING WITH THE BIG ROOF	
点	TEN	point, mark	L3	196	9	点線 [TENSEN] - dotted line; 得点 [TOKUTEN] - points; 重点 [JŪTEN] - emphasis	Seal . Late graph ( Shuowen ); traditional: 點 . Has 黑 137 ‘black’, and 占 1598 (‘divine, occupy’) as phonetic with associated sense ‘small’, thus ‘small black specks’; then broadly ‘point/mark’. KJ1970:726; SS1984:629; TA1965:836-8. Take 占 as divination, and 灬 8 fire.	FIRE USED IN DIVINATION LEAVES BLACK MARKS	images/Chapter2_img_154.jpg
電	DEN	electricity	L5	197	13	電話 [DENWA] - telephone; 電球 [DENKYŪ] - light bulb; 電流 [DENRYŪ] - electric current		LIGHTNING STRIKES FIELD IN ELECTRIC RAINSTORM	
刀	TŌ, katana	sword, knife	L1	198	2	大刀 [DAITŌ] - long sword; 軍刀 [GUNTŌ] - military sword; 小刀 [kogatana] - pocketknife		TWO-EDGED SWORD	
冬	TŌ, fuyu	winter	L4	199	5	冬眠 [TŌMIN] - hibernation; 冬季 [TŌKI] - winter season; 冬枯れ [fuyugare] - winter decay		CROSSED LEGS SLIPPING ON WINTER ICE	
当	TŌ, a	apply, hit mark, appropriate, this	L3	200	6	相当 [SŌTŌ] - appropriate; 手当て [teate] - allowance, treatment	Bronze ; seal ; traditional 當 . Has 田 63 ‘field’, and 尚 1491 (‘furthermore’) as phonetic with associated sense ‘value, price, equivalent price’ (Mizukami, Katō). (In Late Han times, pronunciation of 當 and 尚 was fairly close.) Originally referred to offering a field as a pledge. Tōdō has this graph in a word-family meaning ‘push one thing against another, make to correspond’. MS1995:v2:884-5; KJ1970:669-70; AS2007:206, 181; TA1965:351-2.	THIS LITTLE HAND APPROPRIATELY HITS THE MARK	images/95a.jpg; images/95b.jpg
東	TŌ, higashi, azuma	east	L5	201	8	東洋 [TŌYŌ] - Orient; 東側 [higashigawa] - east side; 東屋 [azumaya] - arbor, bower		SUN RISING BEHIND TREE INDICATES EAST	
答	TŌ, kota	answer	L4	202	12	解答 [KAITŌ] - solution; 答案 [TŌAN] - exam paper; 口答え [kuchigotae] - retort		BAMBOO IS A FITTING ANSWER	
